genome	order_color	color	Phylum	Class	Order	Family_old	Family	Genus	Family_AKA	other
GVMAG-M-3300024294-11	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-M-3300024294-11
GVMAG-M-3300025849-19	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-M-3300025849-19
GVMAG-M-3300025860-17	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-M-3300025860-17
GVMAG-M-3300027621-7	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-M-3300027621-7
GVMAG-M-3300027779-26	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-M-3300027779-26
GVMAG-S-1035088-123	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-1035088-123
GVMAG-S-1101173-83	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-1101173-83
GVMAG-S-3300002153-41	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-3300002153-41
GVMAG-S-3300013014-113	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-3300013014-113
GVMAG-S-ERX555913-34	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-ERX555913-34
GVMAG-S-ERX556022-25	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-ERX556022-25
GVMAG-S-ERX556060-80	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-ERX556060-80
GVMAG-S-ERX556133-39	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g343		GVMAG-S-ERX556133-39
ERX289005.28.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX289005.28.dc
ERX289005.60.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX289005.60.dc
ERX552244.9.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552244.9.dc
ERX552270.108.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552270.108.dc
ERX552270.51.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552270.51.dc
ERX552270.55.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552270.55.dc
ERX552270.94.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552270.94.dc
ERX552297.51.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552297.51.dc
ERX552297.80.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552297.80.dc
ERX552302.42.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX552302.42.dc
ERX556028.70.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX556028.70.dc
ERX556037.23.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		ERX556037.23.dc
GVMAG-M-3300000115-18	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300000115-18
GVMAG-M-3300005613-13	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300005613-13
GVMAG-M-3300006165-1	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300006165-1
GVMAG-M-3300006810-8	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300006810-8
GVMAG-M-3300007522-11	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300007522-11
GVMAG-M-3300018415-13	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300018415-13
GVMAG-M-3300018416-45	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300018416-45
GVMAG-M-3300020166-5	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300020166-5
GVMAG-M-3300020185-39	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300020185-39
GVMAG-M-3300020595-14	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300020595-14
GVMAG-M-3300021371-30	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300021371-30
GVMAG-M-3300021425-30	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300021425-30
GVMAG-M-3300021961-40	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300021961-40
GVMAG-M-3300023184-101	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300023184-101
GVMAG-M-3300023184-161	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300023184-161
GVMAG-M-3300023184-38	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300023184-38
GVMAG-M-3300023184-40	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300023184-40
GVMAG-M-3300023184-89	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300023184-89
GVMAG-M-3300025890-48	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300025890-48
GVMAG-M-3300025894-42	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300025894-42
GVMAG-M-3300027754-9	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300027754-9
GVMAG-M-3300027759-32	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300027759-32
GVMAG-M-3300027833-11	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-M-3300027833-11
GVMAG-S-1074260-58	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-1074260-58
GVMAG-S-1092429-15	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-1092429-15
GVMAG-S-1101172-98	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-1101172-98
GVMAG-S-1103012-103	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-1103012-103
GVMAG-S-3300000115-91	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-3300000115-91
GVMAG-S-ERX556028-72	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		GVMAG-S-ERX556028-72
SRX802189.102.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		SRX802189.102.dc
SRX802189.37.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		SRX802189.37.dc
SRX803008.123.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_01	IM_01	g344		SRX803008.123.dc
GVMAG-M-3300015360-128	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_incertae_sedis	IM_02	g203		GVMAG-M-3300015360-128
SRX310217.20.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_incertae_sedis	IM_02	g204		SRX310217.20.dc
SRX310217.15.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_incertae_sedis	IM_02	g205		SRX310217.15.dc
ERX552255.64.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g270		ERX552255.64.dc
GVMAG-S-ERX555957-35	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g270		GVMAG-S-ERX555957-35
SRX803008.112.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g270		SRX803008.112.dc
GVMAG-M-3300012920-30	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g271		GVMAG-M-3300012920-30
GVMAG-M-3300024329-18	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g271		GVMAG-M-3300024329-18
ERX552253.37.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_06	g272		ERX552253.37.dc
GVMAG-M-3300001351-8	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-M-3300001351-8
GVMAG-M-3300020187-27	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-M-3300020187-27
GVMAG-M-3300021365-13	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-M-3300021365-13
GVMAG-M-3300025138-11	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-M-3300025138-11
GVMAG-M-3300027687-8	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-M-3300027687-8
GVMAG-S-1017745-26	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		GVMAG-S-1017745-26
SRX802143.100.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g291		SRX802143.100.dc
ERX552270.97.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g292		ERX552270.97.dc
ERX555933.5.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g292		ERX555933.5.dc
ERX555967.32.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g292		ERX555967.32.dc
GVMAG-M-3300026093-6	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g292		GVMAG-M-3300026093-6
GVMAG-S-1062857-90	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g292		GVMAG-S-1062857-90
GVMAG-S-3300009703-83	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g293		GVMAG-S-3300009703-83
GVMAG-M-3300009706-33	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g294		GVMAG-M-3300009706-33
GVMAG-M-3300013004-50	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g295		GVMAG-M-3300013004-50
GVMAG-M-3300023179-117	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g295		GVMAG-M-3300023179-117
GVMAG-M-3300023179-123	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g295		GVMAG-M-3300023179-123
GVMAG-M-3300009163-40	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g296		GVMAG-M-3300009163-40
GVMAG-M-3300027736-24	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_07	IM_07	g296		GVMAG-M-3300027736-24
GVMAG-M-3300000115-19	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g283		GVMAG-M-3300000115-19
SRX802073.13.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g283		SRX802073.13.dc
GVMAG-M-3300023174-204	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g284		GVMAG-M-3300023174-204
GVMAG-M-3300023184-13	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g284		GVMAG-M-3300023184-13
GVMAG-M-3300023184-27	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g284		GVMAG-M-3300023184-27
GVMAG-M-3300025822-14	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g284		GVMAG-M-3300025822-14
GVMAG-S-1091232-121	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g284		GVMAG-S-1091232-121
ERX555933.51.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g285		ERX555933.51.dc
GVMAG-M-3300023179-150	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g286		GVMAG-M-3300023179-150
ChoanoV.1	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g287		ChoanoV.1
ERX555915.1.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g287		ERX555915.1.dc
GVMAG-M-3300021958-5	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g287		GVMAG-M-3300021958-5
GVMAG-M-3300025860-25	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g287		GVMAG-M-3300025860-25
SRX802202.7.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g287		SRX802202.7.dc
ERX552287.8.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g288		ERX552287.8.dc
GVMAG-M-3300020165-16	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g288		GVMAG-M-3300020165-16
GVMAG-M-3300020185-3	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g288		GVMAG-M-3300020185-3
GVMAG-M-3300021958-1	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g288		GVMAG-M-3300021958-1
SRX802077.138.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g288		SRX802077.138.dc
GVMAG-M-3300024252-35	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g289		GVMAG-M-3300024252-35
SRX802189.83.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g289		SRX802189.83.dc
ERX552287.77.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_08	IM_08	g290		ERX552287.77.dc
ERX552270.35.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g273		ERX552270.35.dc
ERX552270.38.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g273		ERX552270.38.dc
GVMAG-M-3300010368-17	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g273		GVMAG-M-3300010368-17
GVMAG-M-3300020595-32	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g273		GVMAG-M-3300020595-32
GVMAG-S-ERX555967-140	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g273		GVMAG-S-ERX555967-140
ERX555931.51.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		ERX555931.51.dc
ERX555954.49.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		ERX555954.49.dc
ERX556094.31.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		ERX556094.31.dc
GVMAG-M-3300009785-4	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300009785-4
GVMAG-M-3300021185-27	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300021185-27
GVMAG-M-3300022920-3	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300022920-3
GVMAG-M-3300023109-37	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300023109-37
GVMAG-M-3300023110-7	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300023110-7
GVMAG-M-3300027779-53	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-M-3300027779-53
GVMAG-S-1016728-84	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-S-1016728-84
GVMAG-S-3300010316-20	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-S-3300010316-20
GVMAG-S-ERX555954-49	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-S-ERX555954-49
GVMAG-S-ERX555967-130	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-S-ERX555967-130
GVMAG-S-ERX556126-94	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		GVMAG-S-ERX556126-94
SRX802143.55.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g274		SRX802143.55.dc
ERX552264.38.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		ERX552264.38.dc
ERX552270.36.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		ERX552270.36.dc
GVMAG-M-3300023110-24	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		GVMAG-M-3300023110-24
GVMAG-M-3300023210-4	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		GVMAG-M-3300023210-4
GVMAG-S-ERX555947-70	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		GVMAG-S-ERX555947-70
GVMAG-S-ERX556126-98	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g275		GVMAG-S-ERX556126-98
ERX552241.31.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		ERX552241.31.dc
ERX555907.104.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		ERX555907.104.dc
ERX555935.132.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		ERX555935.132.dc
GVMAG-M-3300017824-10	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-M-3300017824-10
GVMAG-M-3300023109-49	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-M-3300023109-49
GVMAG-S-ERX555907-90	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX555907-90
GVMAG-S-ERX555907-92	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX555907-92
GVMAG-S-ERX555907-94	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX555907-94
GVMAG-S-ERX555931-87	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX555931-87
GVMAG-S-ERX555935-135	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX555935-135
GVMAG-S-ERX556063-42	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX556063-42
GVMAG-S-ERX556063-48	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		GVMAG-S-ERX556063-48
SRX802074.61.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g276		SRX802074.61.dc
ERX552270.107.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g277		ERX552270.107.dc
GVMAG-M-3300020187-37	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g277		GVMAG-M-3300020187-37
SRX802073.24.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g277		SRX802073.24.dc
SRX802963.50.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_05	IM_09	g277		SRX802963.50.dc
ERX552302.1.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g278	Aureococcaviridae	ERX552302.1.dc
GCA.000922335.1.ViralProj258005	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g278	Aureococcaviridae	Aureococcus anophagefferens virus BtV-01
GVMAG-M-3300017763-4	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g278	Aureococcaviridae	GVMAG-M-3300017763-4
GVMAG-S-405408-21	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g278	Aureococcaviridae	GVMAG-S-405408-21
ERX552255.7.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX552255.7.dc
ERX552270.10.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX552270.10.dc
ERX552270.42.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX552270.42.dc
ERX552270.56.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX552270.56.dc
ERX552270.76.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX552270.76.dc
ERX556005.37.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX556005.37.dc
ERX556103.23.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	ERX556103.23.dc
GVMAG-S-1024976-23	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	GVMAG-S-1024976-23
GVMAG-S-ERX555907-63	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	GVMAG-S-ERX555907-63
GVMAG-S-ERX555961-36	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	GVMAG-S-ERX555961-36
GVMAG-S-ERX555987-49	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g279	Aureococcaviridae	GVMAG-S-ERX555987-49
ERX555941.31.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g280	Aureococcaviridae	ERX555941.31.dc
SRX802076.48.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g281	Aureococcaviridae	SRX802076.48.dc
ERX552257.96.dc	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_09	IM_09	g282	Aureococcaviridae	ERX552257.96.dc
GVMAG-M-3300013093-48	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g297		GVMAG-M-3300013093-48
GVMAG-S-1101164-76	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g297		GVMAG-S-1101164-76
GVMAG-S-3300012000-62	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g297		GVMAG-S-3300012000-62
GVMAG-S-3300013094-100	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g297		GVMAG-S-3300013094-100
GVMAG-S-3300013285-36	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g297		GVMAG-S-3300013285-36
GCA.011604445.1.ASM1160444v1	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g298		Dishui Lake large algae virus 1 
GVMAG-S-1026894-48	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g298		GVMAG-S-1026894-48
GVMAG-M-3300009001-5	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g299		GVMAG-M-3300009001-5
GVMAG-M-3300021962-46	#9400d3	8900FF	Nucleocytoviricota	Megaviricetes	Imitervirales	MC_12	IM_12	g299		GVMAG-M-3300021962-46
